Player(1) MCTS_MAST wins: 	 Player(2) heu wins: 	 tree iterations:
8 	 67	1000
Game	winner	moves:
1	2	32
2	2	32
3	2	32
4	2	32
5	2	32
6	2	32
7	2	32
8	2	32
9	2	32
10	2	32
11	2	32
12	1	33
13	2	32
14	2	32
15	2	34
16	2	32
17	2	32
18	1	32
19	2	33
20	1	32
21	2	32
22	2	32
23	2	32
24	2	33
25	2	32
26	2	32
27	2	32
28	1	32
29	2	32
30	2	32
31	2	32
32	2	32
33	2	32
34	2	33
35	2	32
36	1	32
37	2	32
38	2	32
39	2	32
40	2	32
41	2	32
42	1	32
43	2	32
44	2	32
45	2	32
46	2	32
47	2	32
48	2	32
49	2	33
50	2	32
51	2	33
52	2	32
53	2	32
54	1	32
55	2	32
56	2	32
57	2	32
58	2	32
59	2	32
60	2	32
61	2	32
62	2	32
63	2	32
64	2	32
65	1	32
66	2	32
67	2	32
68	2	32
69	2	32
70	2	32
71	2	32
72	2	32
73	2	33
74	2	33
75	2	32
